Date,Open,High,Low,Close,Adj Close,Volume
2023-01-17,574.900024,585.359985,574.539978,579.23999,572.05304,1583500
2023-01-18,583.210022,587.559998,573.719971,574.289978,567.16449,1570300
2023-01-19,569.119995,570.059998,560.309998,563.219971,556.231812,2269200
2023-01-20,563.030029,571.359985,559.109985,570.780029,563.698059,2295000
2023-01-23,572.0,584.789978,569.780029,581.630005,574.413391,2342900
2023-01-24,578.440002,586.690002,575.630005,585.030029,577.77124,1382500
2023-01-25,577.669983,586.969971,576.039978,585.679993,578.413147,1376600
2023-01-26,590.409973,600.559998,586.26001,598.580017,591.153137,2452500
2023-01-27,593.320007,599.25,590.190002,590.98999,583.657227,1934400
2023-01-30,583.0,589.609985,579.76001,581.450012,574.235657,1698400
2023-01-31,582.070007,587.22998,580.73999,585.01001,577.751465,2371900
2023-02-01,583.570007,608.299988,582.700012,602.75,595.271362,2655300
2023-02-02,607.630005,613.140015,599.75,605.77002,598.253906,2418800
2023-02-03,598.0,608.039978,596.25,597.619995,590.205017,1909300
2023-02-06,593.340027,603.219971,592.26001,601.299988,593.839355,1870900
2023-02-07,600.659973,617.01001,599.719971,614.450012,606.826233,2402500
2023-02-08,606.679993,610.179993,600.619995,601.710022,594.244263,1529000
2023-02-09,612.599976,614.929993,595.47998,599.409973,591.972778,1883700
2023-02-10,596.309998,598.460022,589.630005,593.25,585.889282,2103500
2023-02-13,595.0,601.47998,593.469971,601.119995,593.66156,1984700
2023-02-14,594.169983,605.580017,593.320007,602.309998,594.836853,1757100
2023-02-15,598.859985,608.280029,596.700012,607.690002,600.150085,1268300
2023-02-16,600.75,608.940002,599.549988,600.539978,593.088745,1744900
2023-02-17,600.0,600.849976,592.450012,595.590027,588.200256,1421500
2023-02-21,590.0,593.090027,579.840027,581.539978,574.324524,2273700
2023-02-22,582.25,583.090027,572.099976,576.169983,569.021118,2347500
2023-02-23,585.75,585.940002,573.679993,583.799988,576.556458,1893900
2023-02-24,577.530029,580.23999,573.609985,577.75,570.581543,1535300
2023-02-27,585.869995,589.799988,584.26001,585.450012,578.186035,1832100
2023-02-28,585.559998,598.580017,582.179993,594.289978,586.916321,2782200
2023-03-01,594.0,598.210022,590.299988,593.570007,586.205261,1548400
2023-03-02,589.390015,600.940002,586.130005,598.650024,591.222229,2752500
2023-03-03,617.700012,635.72998,615.75,632.76001,624.909058,4608800
2023-03-06,635.0,644.049988,631.72998,632.919983,625.067017,2498300
2023-03-07,634.869995,635.780029,623.51001,625.150024,617.393494,1933400
2023-03-08,627.780029,632.72998,623.669983,632.26001,624.415222,2091200
2023-03-09,630.080017,642.440002,621.880005,622.52002,614.796082,2177500
2023-03-10,628.190002,630.159973,612.820007,614.830017,607.201477,2609800
2023-03-13,607.090027,624.390015,606.880005,616.469971,608.821106,2236400
2023-03-14,623.390015,633.369995,618.5,632.460022,624.612793,2589300
2023-03-15,627.669983,630.070007,616.200012,626.039978,618.2724,2296300
2023-03-16,621.849976,637.070007,617.809998,636.5,628.6026,3171600
2023-03-17,636.5,639.570007,627.080017,630.969971,623.141174,7930300
2023-03-20,632.73999,644.73999,631.599976,643.710022,635.723206,2585700
2023-03-21,643.090027,646.590027,634.330017,636.75,633.375671,2500000
2023-03-22,636.900024,648.5,630.669983,630.919983,627.576538,2579900
2023-03-23,638.900024,648.179993,631.530029,639.22998,635.842468,2716200
2023-03-24,638.030029,639.299988,628.549988,636.169983,632.798706,1722800
2023-03-27,639.0,639.099976,625.98999,626.840027,623.518188,1470700
2023-03-28,625.22998,626.539978,618.859985,624.700012,621.389526,1243900
2023-03-29,632.780029,634.01001,624.640015,625.5,622.185242,2639500
2023-03-30,632.72998,636.049988,629.299988,633.75,630.391541,2152300
2023-03-31,630.539978,642.219971,625.909973,641.539978,638.140259,2209700
2023-04-03,639.0,643.900024,636.440002,642.469971,639.065308,1568200
2023-04-04,643.150024,644.23999,632.0,634.409973,631.048035,1342900
2023-04-05,631.140015,631.700012,625.700012,629.01001,625.676697,1690800
2023-04-06,624.159973,628.400024,618.969971,622.640015,619.340454,1449300
2023-04-10,618.049988,627.869995,616.450012,627.390015,624.065247,1540000
2023-04-11,630.780029,630.880005,620.820007,621.570007,618.276123,1651800
2023-04-12,627.340027,627.52002,616.26001,616.700012,613.431946,1411200
2023-04-13,619.070007,626.5,617.109985,624.23999,620.931946,1726500
2023-04-14,620.47998,628.030029,615.210022,619.539978,616.256836,1746500
2023-04-17,618.609985,628.340027,617.809998,627.359985,624.0354,1320100
2023-04-18,631.619995,635.5,627.130005,632.320007,628.969116,1680600
2023-04-19,626.789978,636.789978,625.549988,634.5,631.137573,1906000
2023-04-20,627.859985,642.72998,627.140015,633.02002,629.665466,2023900
2023-04-21,630.599976,633.799988,621.98999,632.900024,629.546082,1480700
2023-04-24,633.640015,638.849976,631.789978,634.539978,631.177368,1233800
2023-04-25,633.98999,635.98999,621.73999,622.02002,618.723755,2367000
2023-04-26,619.969971,623.130005,613.51001,616.190002,612.924622,1717900
2023-04-27,616.190002,620.090027,603.22998,618.409973,615.132813,1825000
2023-04-28,619.070007,626.780029,614.559998,626.5,623.179993,1618300
2023-05-01,626.5,638.98999,626.200012,637.950012,634.569275,1703000
2023-05-02,625.76001,626.5,605.02002,612.340027,609.095032,2835700
2023-05-03,616.900024,621.950012,612.400024,613.200012,609.950439,1981600
2023-05-04,610.0,613.960022,601.289978,610.159973,606.926514,1768400
2023-05-05,615.950012,631.469971,613.369995,630.119995,626.780762,2486400
2023-05-08,629.780029,630.72998,620.580017,629.059998,625.726379,1393400
2023-05-09,622.72998,624.070007,615.859985,618.51001,615.2323,1699000
2023-05-10,622.059998,628.0,618.27002,626.27002,622.951233,1917400
2023-05-11,626.580017,628.47998,617.98999,627.669983,624.34375,1443000
2023-05-12,628.380005,632.700012,624.210022,631.150024,627.805359,1194200
2023-05-15,631.869995,640.02002,628.469971,639.799988,636.409485,1461400
2023-05-16,640.460022,646.909973,638.72998,641.440002,638.040771,1496700
2023-05-17,647.349976,660.900024,644.580017,657.469971,653.98584,2413300
2023-05-18,656.0,679.359985,656.0,677.900024,674.307617,2638900
2023-05-19,680.0,684.950012,678.409973,682.25,678.634521,2296400
2023-05-22,681.400024,684.679993,674.119995,678.369995,674.775085,1779600
2023-05-23,690.640015,698.98999,682.02002,686.5,682.862,3608800
2023-05-24,681.440002,684.309998,676.059998,679.530029,675.928955,2302100
2023-05-25,699.409973,732.390015,690.77002,728.799988,724.937866,4926300
2023-05-26,747.429993,814.97998,747.02002,812.72998,808.423035,8250000
2023-05-30,835.119995,921.780029,798.809998,803.340027,799.082886,11691200
2023-05-31,794.900024,821.669983,790.130005,807.960022,803.678406,8999800
2023-06-01,800.619995,805.789978,785.159973,789.950012,785.763794,8079200
2023-06-02,790.640015,823.77002,787.200012,812.0,807.69696,6279700
2023-06-05,809.200012,809.200012,794.47998,802.299988,798.04834,2622200
2023-06-06,802.0,802.0,776.380005,790.0,785.813538,3782300
2023-06-07,789.820007,805.450012,787.51001,792.630005,788.429626,2895700
2023-06-08,794.909973,805.01001,788.780029,804.200012,799.938293,2190900
2023-06-09,805.799988,817.75,803.880005,804.619995,800.356018,1924100
2023-06-12,811.119995,858.0,811.119995,855.359985,850.827148,5106500
2023-06-13,861.130005,863.26001,841.0,851.119995,846.609619,3899000
2023-06-14,855.900024,888.539978,847.219971,886.179993,881.483826,4352400
2023-06-15,884.409973,887.969971,871.02002,883.429993,878.748413,3381400
2023-06-16,889.280029,889.950012,865.450012,868.109985,863.509583,6829200
2023-06-20,862.659973,877.070007,861.01001,868.030029,863.430054,2753500
2023-06-21,860.0,866.0,844.599976,847.659973,847.659973,2322900
2023-06-22,845.090027,848.909973,835.309998,842.429993,842.429993,2346400
2023-06-23,834.01001,836.02002,818.849976,822.150024,822.150024,3740700
2023-06-26,825.0,837.0,820.219971,821.630005,821.630005,2137200
2023-06-27,828.679993,850.0,821.0,848.400024,848.400024,2492300
2023-06-28,838.72998,858.530029,837.059998,847.940002,847.940002,1944500
2023-06-29,854.450012,862.840027,846.409973,862.570007,862.570007,2338600
2023-06-30,868.52002,874.570007,864.330017,867.429993,867.429993,2313900
2023-07-03,868.619995,876.72998,864.919983,876.440002,876.440002,903800
2023-07-05,867.400024,876.900024,861.75,861.859985,861.859985,1444000
2023-07-06,845.0,853.900024,844.330017,848.0,848.0,2393900
2023-07-07,850.429993,857.98999,844.659973,846.75,846.75,1940100
2023-07-10,848.280029,879.169983,848.280029,877.72998,877.72998,3062200
2023-07-11,881.109985,883.0,864.630005,882.049988,882.049988,2550400
2023-07-12,889.0,897.590027,882.0,889.950012,889.950012,2819700
2023-07-13,898.940002,898.940002,878.27002,890.359985,890.359985,2591200
2023-07-14,886.159973,903.349976,886.159973,888.580017,888.580017,1850300
2023-07-17,891.01001,913.210022,889.780029,910.349976,910.349976,2681900
2023-07-18,905.97998,909.900024,898.26001,903.429993,903.429993,2451300
